attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,CLASS
29.732138,216.910126,0,84.480766,288.015625,278.469025,186.978607,284.313202,135.148071,150.083313,176.23848,281.440948,322.256104,334.228973,398.421875,272.662781,190.073669,135.103668,426.298004,284.971924,290.203369,148.475586,356.506653,175.071411,186.978607,299.766571,275.312561,205.060974,160.049988,223.573257,403.86261,225.037781,178.305923,169.567093,351.637604,199.022614,A
121.297157,291.27478,121.297157,177.341476,339.948517,303.34964,170.46994,326.810333,162.077148,160.312195,196.512085,264.196899,343.069977,364.660126,372.429871,320.356049,269.319519,186.231033,444.173401,267.007477,267.007477,116.709038,339.34201,198.600098,260.432343,325.530334,205.543182,177.519012,146.731049,175.353928,366.656525,217.175049,191.63768,162.929428,321.735931,156.012817,A
90.249657,254.892136,55.470715,186.303513,356.025269,295.061005,209.059799,307.616638,158.382446,158.937088,178.044937,283.425476,353.771118,335.261078,385.902832,315.68338,289.352722,158.417175,420.434296,282.98587,274.774445,81.884064,354.633606,198.595062,234.181549,316.218292,237.170822,131.1259,59.135437,155.00322,405.009888,230.054337,171.95639,179.047485,321.735931,160.461838,A
80.529495,274.650696,193.569107,198.708328,387.324158,431.866882,194.257568,487.016418,84.077347,201.816742,150.572235,216.067123,420.32605,369.384613,409.528992,258.860962,140.513351,112.698715,389.835876,357.994415,251.745911,106.7052,262.413788,209.403915,257.856537,339.112091,191.971359,230.054337,184.548096,265.188599,371.5979,220.165848,191.63768,162.606888,354.153931,164.234589,A
112.30761,281.655823,134.528809,211.009476,334.550446,325.041534,176.853043,338.998535,157.686401,195.368881,225.787506,287.360413,376.597931,375.969421,362.729919,319.757721,284.971924,184.629364,462.06601,408.94986,302.165527,158.268753,321.054504,200.878067,245.348724,334.282806,163.768127,209.468369,172.235306,162.505386,351.404327,215.102295,193.038849,167.200485,333.529602,166.330994,A
153.101273,253.160034,111.004501,206.526031,330.915405,288.861572,173.818878,415.215607,105.81588,118.827606,180.479919,224.450439,313.159698,330.056061,344.725983,280.919922,186.11824,104.043259,390.824768,358.280609,231.579361,154.625351,304.926208,201.556442,250.225891,343.49527,161.372238,220.047729,183.504761,193.540695,366.83783,221.46106,179.621826,157.165512,314.682373,156.348969,A
158.256119,258.001953,155.544205,187.00267,344.175842,306.164978,175.513535,381.047241,131.365906,155.544205,169.295593,283.55069,327.812439,334.964172,381.047241,311.700165,203.194489,130.908371,424.858795,253.428497,251.007965,148.946304,350.89743,185.067551,241.298569,325.596375,243.8237,208.968903,166.652328,202.714081,409.849976,208.338669,170.188126,166.330994,334.282806,170.844955,A
154.538025,278.915771,189.066132,0,381.177124,303.057739,175.308304,415.808838,135.871262,191.971359,0,294.592926,327.963409,332.150574,398.944855,335.451935,0,162.373032,416.48288,290.991394,292.24646,0,352.3237,157.84169,212.285187,357.88266,0,0,0,0,404.278381,235.510086,161.793076,176.005676,334.598267,180.099976,A
137,261.843475,99.639351,220.730606,354.316254,286.008728,177.200455,413.827271,132.306458,110.317726,166.739319,242.958847,322.490295,328.721771,413.827271,271.300568,210.774765,157.050949,403.050873,380.295929,262.667084,125.207825,294.307648,218.288803,282.028381,351.283356,180.693115,212.934265,184.141251,232.312286,360.184662,211.520691,176.411453,155.913437,313.823212,156.706726,A
153.404694,247.455048,163.082794,208.600098,342.211914,298.055359,174.427643,429.121185,83.600243,178.67569,181.796585,255.190125,345.858337,309.743439,356.931366,283.536591,248.847336,83.40863,396.850098,239.286438,242.00206,63.324562,351.142426,167.869003,229.259674,320.669617,271.007385,148.003372,61.351448,162.27446,397.597778,210.705963,183.098328,170,341.825989,176.963272,A
0,0,0,0,0,0,0,0,104.307236,189.113724,180.510391,250.199921,445.92041,387,417.258911,260.929108,205.912598,103.730423,397.146057,369,262.207947,110.634537,304.424042,198.66806,263.933716,352.427307,188.063812,231.043289,180.57962,230.852768,386.881104,230.783447,197.952011,182.784027,338.023682,155.724121,A
153.31015,260.203766,139.463257,254.135788,353.084961,334.861176,160.589539,449.054565,129.46814,163.321762,229.889099,268.28717,346.560242,377.243958,426.226471,279.830292,228.705048,128.144455,408.377289,390.913025,279.515656,157,322,218.835556,277.521179,402.990082,175.282623,210.836426,189.256439,241.17421,335.936005,210.836426,190.247208,160.514801,321.168182,160.654907,A
184.556229,295.096588,135.93013,183.199341,379.79599,279.177368,209.773682,450.245483,88.836929,189.465042,158.619034,232.010773,401.382599,362.173981,396.080811,257.194489,199.744843,118.338501,375.767212,355.123932,255.978516,139.262344,339.425995,177.115784,244.429947,387.73703,210.218933,193.610428,175.931808,265.906006,340.332184,204.892654,195.726852,168.573425,337.51593,166.865219,A
87.641312,225.656815,194.002579,0,287.250763,332.001495,171.405945,409.648621,54.56189,173.046234,0,224.321198,260.342072,255.031372,323.735992,208.086517,0,53.338543,277.4617,225.020004,225.020004,0,345.742676,156.98407,195.780487,340.781464,0,0,0,0,351.980103,203.973038,196.173386,162.363785,328.207245,179.067032,A
155.630966,280.456757,120.801491,197.08374,339.00589,309.342865,177.991577,380.29068,154.457108,166.388107,197.08374,250.667114,325.129211,377.955017,385.834167,315.597839,221.199005,154.159012,427.299652,403.803162,269.066895,151.419952,349.413788,206.787323,288.617401,372.581543,195.358643,220.730606,198.282623,183.896713,376.406708,258.799164,211.815964,155.540985,328.975677,142.087997,A
