@relation 'AT: frechetCheckA - Copy-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.569attr_4-0.516attr_2-0.514attr_6-0.314attr_5-0.199attr_1... numeric
@attribute -0.671attr_3-0.583attr_1+0.314attr_4+0.248attr_6-0.171attr_2... numeric
@attribute '-0.715attr_5+0.47 attr_2-0.284attr_1+0.276attr_3+0.259attr_6...' numeric
@attribute -0.51attr_6-0.449attr_5+0.444attr_1+0.382attr_4-0.365attr_3... numeric
@attribute '0.551attr_6-0.535attr_2+0.52 attr_1-0.374attr_5-0.026attr_3...' numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-0.935306,-0.6651,0.213191,-0.367119,0.070932,A
-1.237185,-0.605056,0.007714,-0.437259,-0.171888,A
-0.964452,-0.823968,0.078417,-0.301747,-0.143791,A
-0.292818,-1.020194,-0.222156,-0.553744,-0.06248,A
-0.90164,-0.244133,0.088021,-0.339766,-0.492847,A
-1.103895,-0.657413,0.028193,-0.621242,-0.197743,A
-0.099058,-0.643341,-0.311411,-0.458064,-0.206351,A
-0.642356,-0.32268,-0.184814,-0.225546,-0.67968,A
-0.736674,-0.447238,0.284049,-0.163828,-0.002954,A
-0.671579,-0.769523,-0.087354,-0.570544,0.01149,A
-1.142539,-0.649701,0.042483,-0.469168,-0.167516,A
-1.207497,-0.580032,0.251196,-0.418306,-0.006282,A
-0.309489,-0.529594,-0.155578,-0.370158,-0.252335,A
-1.460199,-0.591182,0.169217,-0.472346,-0.034129,A
-0.854338,-0.652071,-0.202793,-0.485275,0.284368,A
-1.350225,-0.403034,0.15381,-0.526874,0.501381,A
-0.679301,-0.081903,-0.265397,-0.505452,-0.018629,A
-1.374719,-0.227181,-0.19002,-0.56734,0.339449,A
-0.678525,-0.542087,-0.166653,-0.235935,-0.393172,A
-1.38369,-0.471521,-0.09322,-0.514038,-0.216265,A
-0.773166,-0.526024,-0.149742,-0.273678,-0.091285,A
-1.349544,-0.377663,-0.018882,-0.72431,0.248739,A
-0.715737,-0.391205,-0.240846,-0.511712,0.029936,A
-1.398328,-0.345534,0.21171,-0.622405,0.324523,A
-1.443527,-0.370722,0.015634,-0.469797,-0.083179,A
-1.018226,-0.572958,-0.161071,-0.046112,-0.053764,A
-0.812447,-0.310738,-0.068759,-0.577065,0.212071,A
-0.778358,-0.111445,-0.441677,-0.261802,-0.138466,A
-0.983511,-0.358569,-0.054798,-0.400258,0.17775,A
-0.4584,-0.597089,-0.071306,-0.042975,-0.309213,A
-1.130742,-0.987929,0.078368,-0.388365,-0.263016,A
-0.965139,-0.839443,0.262554,-0.177073,-0.098384,A
-1.190379,-0.549238,-0.104269,-0.700341,-0.109905,A
-0.898305,-0.351542,-0.336891,-0.41621,-0.233296,A
-1.158273,-0.553646,-0.173798,-0.787526,0.368861,A
-0.365969,-0.806023,-0.101266,-0.077123,-0.333994,A
-1.312766,-0.432055,0.169983,-0.263441,-0.188598,A
-0.633611,-0.814134,-0.317153,-0.434817,-0.311163,A
-0.557949,-0.850926,-0.247142,-0.460133,-0.440143,A
-1.21326,-0.633156,-0.026047,-0.482981,-0.352242,A
-0.610452,-0.714708,-0.316328,-0.534184,-0.28447,A
-0.259831,-0.466553,0.200569,-0.263143,-0.11615,A
-1.02166,-0.880499,0.416913,-0.690784,-0.013073,A
-1.199994,-0.995756,0.277519,-0.215178,0.034735,A
