attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,class
272.868103,278.976715,378.761139,295.880035,238.430283,284.381775,A
277.33194,292.919769,421.587463,300.532867,286.818756,255.440796,A
255.806564,255.225388,377.605621,276.134033,214.406158,271.812439,A
255.812424,281.575928,430.610046,284.69281,276.537506,287.141083,A
271.088531,277.618439,397.754944,265.685913,298.804291,261.199158,A
291.21814,299.933319,397.075562,289.539276,298.332031,282.086853,A
282.800293,297.321381,436.280884,296.786133,218.549759,264.017059,A
272.882751,254.544693,390.691681,258.118195,221.652878,263.121643,A
262.773682,268.001862,439.222046,273.92334,230.325851,232.860474,A
258.118195,248.032257,418.492523,264.864105,265.80069,264.185547,A
248.203552,229.078583,391.371948,276.701996,260.36322,256.236206,A
274.972717,262.944855,425.611328,302.83493,225.887146,285.00174,A
272.371063,279.243622,409.414215,283.989441,232.59407,258.791412,A
292.856628,280.750793,441.171173,289.110718,286.248138,293.155243,A
277.4617,284.290344,430.735413,295.954376,285.524078,257.751831,A
277.319305,252.907104,434.010376,316.570679,216.889374,323.154755,A
271.442444,295.710999,411.393982,304.356689,262.937256,241.615402,A
268.570282,261.222137,438.50769,276.875427,271.648682,276.175659,A
263.865509,278.280426,428.435516,281.300537,256.844299,256.602814,A
270.431152,260.599304,421.494965,294.979675,286.775177,291.001709,A
267.097351,274.838135,437.504272,272.459167,238.159607,242.637589,A
290.690552,282.639343,454.780182,284.102081,278.095306,283.298431,A
276.804993,273.748047,425.958923,278.210358,272.356384,219.492599,A
286.586823,271.494019,439.318787,275.263519,269.401184,274.881805,A
275.056366,282.619873,427.224762,282.766693,271.906219,233.805481,A
258.992279,282.846252,434.056458,294.307648,208.165802,285.028076,A
255.331161,254.025589,397.451874,291.563019,283.091858,258.853241,A
277.200287,280.585114,472.410828,269.436462,264.461731,266.270538,A
272.904755,253.160034,443.221161,250.906357,288.5914,235.01915,A
277.093842,234.019226,453.207458,248.290146,254.94313,231.624695,A
259.422424,269.757294,429.330872,276.391022,283.746368,249.242859,A
268.203278,269.875885,425.377472,265.544708,285.608124,265.505188,A
264.577026,236.647415,424.605713,223.51062,288.086792,213.588394,A
269.356628,239.70816,451.278198,251.793564,256.462463,238.64827,A
280.765015,290.299835,416.869293,296.73053,284.487244,257.287781,A
269.031586,260.163422,455.800385,274.021912,273.622009,268.910767,A
282.3349,278.37384,433.416656,275.263519,255.56604,232.641357,A
265.668976,231.276886,424.529144,278.883484,283.557739,286.630432,A
259.295197,273.855804,418.85199,284.529449,268.812195,218.929214,A
284.885956,276.82666,441.213104,268.715454,278.926514,258.862885,A
267.226501,276.929596,419.848785,279.159454,255.785065,227.861801,A
265.318665,236.921921,447.651642,243.665756,275.136322,234.307495,A
263.351471,237.124435,429.088562,237.023209,289.394196,225.610291,A
283.55069,268.477173,453.689331,240.208237,281.886505,245.081619,A
265.544708,235.764709,401.822113,224.075882,286.965149,221.305222,A
268.888458,275.931152,439.010254,272.371063,235.467621,236.349319,A
266.812683,282.794983,453.714661,304.644043,271.692841,255.362488,A
268.493958,280.665283,437.504272,247.19426,238.415604,239.534973,A
271.906219,241.878067,392.770935,285.889832,264.911316,283.698792,A
272.369232,223.271133,442.823883,234.273346,272.59494,222.26561,A
261.39624,290.125824,440.405487,289.822357,262.207947,243.665756,A
264.109833,227.69278,396.678711,266.443237,271.670746,271.02951,A
255.863251,239.207016,369.925659,258.02713,263.774536,265.04718,A
268.365417,231.311478,432.60376,233.452347,247.080963,228.140305,A
262.322327,254.945099,415.626038,255.556259,284.175995,258.379578,A
279.458405,282.490723,439.438263,283.55069,267.402313,263.007599,A
270.325745,220.719284,427.411987,219.604187,277.33374,208.002411,A
270.266541,184.556229,422.522186,240.674057,259.771057,184.621231,A
257.419891,223.224106,456.64209,248.421021,277.742676,215.928223,A
268.79361,284.200623,433.207794,262.091583,291.219849,222.596054,A
276.73996,274.91272,424.417236,298.291809,279.259735,292.015411,A
272.442657,260.986603,400.898987,282.644653,274.803558,278.958771,A
279.565735,304.345184,382.027496,293.838379,294.552216,255.56604,A
304.435547,324.607452,380.157867,297.168304,300.975067,294.287262,A
305.484863,283.637085,382.027496,294.567474,284.042236,276.956665,A
277.780487,298.303528,325.39975,272.310486,297.617218,281.7836,A
284.880676,299.446167,382.613373,309.147217,285.786621,315.077759,A
254.921555,272.356384,361.001373,263.321106,295.677185,216.115707,A
290.387665,315.84964,367.680573,291.986298,302.319366,296.027039,A
274.91272,303.145172,367.613922,307.358093,284.885956,313.014374,A
264.357727,315.420349,329.037994,301.014954,297.994965,311.642426,A
256.259644,307.689789,358.131256,294.110535,287.383026,310.412628,A
267.007477,291.924652,391.337463,298.357178,294.823669,270.675079,A
258.683197,270.040741,355.562927,261.772797,290.766235,264,A
260.894623,292.581604,364.453003,291.247314,284.543488,286.111877,A
259.924988,263.706268,325.72995,246.975708,283.571869,220.336105,A
268.151062,290.341187,416.213898,292.097595,299.541321,224.555115,A
270.001862,313.588898,394.82782,273.221527,305.447205,265.067902,A
268.268524,233.060074,390.513763,233.137299,299.701508,237.002106,A
265.001892,261.543488,394.93924,285.378693,300.269867,295.255829,A
266.833282,252.922913,402.27478,276.871826,265.601196,262.488098,A
260.094208,309.012939,327.612579,284.675262,319.864044,254.448425,A
256.222565,313.11499,380.73877,308.17691,293.231995,316.039551,A
265.152771,300.166626,354.227325,263.600067,307.358093,243.347488,A
