@relation 'AT: Zone4_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.575attr_4-0.478attr_6-0.471attr_2-0.383attr_5-0.261attr_1... numeric
@attribute -0.696attr_3-0.542attr_1+0.328attr_4+0.245attr_6-0.232attr_2... numeric
@attribute '0.635attr_5-0.484attr_2-0.393attr_6+0.37 attr_1-0.22attr_3...' numeric
@attribute -0.551attr_6-0.479attr_5+0.407attr_4+0.327attr_2-0.324attr_3... numeric
@attribute 0.559attr_1-0.503attr_2+0.476attr_6-0.448attr_5+0.067attr_4... numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-0.367007,-1.198841,0.045793,-0.578356,-0.141345,A
-0.861427,-1.192852,-0.054013,-0.344227,-0.415094,A
-1.354096,-0.839994,-0.332667,-0.556337,0.170671,A
-1.079641,-0.704623,-0.230876,-0.486202,0.173538,A
-1.330713,-0.760747,-0.078681,-0.195101,-0.246116,A
-1.766373,-0.819035,-0.196131,-0.32389,-0.023534,A
-1.370478,-0.791285,-0.06563,-0.24849,0.199592,A
-1.311189,-0.339189,-0.058653,-0.312045,-0.082762,A
-1.692552,-0.561266,-0.36579,-0.466758,0.208401,A
-0.715859,-0.607141,0.178057,-0.180026,-0.46358,A
-1.666993,-0.643709,-0.184117,-0.397771,-0.056921,A
-1.647846,-0.421257,-0.391527,-0.425404,0.130872,A
-1.682896,-0.154446,-0.297278,-0.396732,-0.068953,A
-1.54046,-0.309382,-0.451348,-0.488861,-0.036281,A
-1.352459,-0.665967,-0.14719,-0.389177,-0.174868,A
-0.947146,-0.450248,-0.051395,-0.442592,-0.128302,A
-1.316635,-0.421015,-0.288603,-0.37914,-0.05467,A
-0.538271,-0.405907,0.166816,-0.089052,-0.282979,A
-1.094829,-0.993564,0.05751,-0.225964,-0.464447,A
-1.358234,-0.855887,-0.167228,-0.447564,-0.383867,A
-0.558418,-0.825905,0.256387,-0.640332,-0.123413,A
-1.300429,-0.577925,-0.096582,-0.75385,0.06411,A
-0.85328,-0.724094,-0.228947,-0.389066,0.142674,A
-1.346192,-0.329308,0.155256,-0.263106,-0.527902,A
-1.718416,-0.420387,-0.481453,-0.565333,-0.071821,A
-1.091641,-0.610754,0.071897,-0.286198,-0.463008,A
-1.156998,-0.030591,-0.079911,-0.743424,0.234152,A
-1.055598,-0.418516,-0.238711,-0.588968,0.320649,A
-0.853317,-0.475545,0.357319,-0.096549,-0.799761,A
-1.478353,-0.329505,-0.287783,-0.421289,-0.075033,A
-1.360135,-0.157819,-0.285408,-0.334372,-0.306524,A
-1.486329,-0.247525,-0.051569,-0.389236,-0.220427,A
-1.272568,-0.223572,-0.078986,-0.483671,-0.144922,A
-0.961739,-0.363219,0.171496,-0.19067,-0.551231,A
-1.039971,-0.680615,-0.075412,-0.419909,-0.432534,A
-1.179532,-0.67707,-0.051933,-0.151067,-0.343206,A
-1.320911,-0.384327,-0.144631,-0.44348,-0.354805,A
-1.291439,-1.022911,-0.355194,-0.583639,-0.193395,A
-1.109827,-0.35755,0.106686,-0.366868,-0.18483,A
-0.831627,-0.603167,0.128879,-0.206791,-0.347875,A
-1.031641,-0.631859,-0.170886,-0.302031,-0.438655,A
-1.27663,-0.61362,-0.130771,-0.280667,-0.131211,A
-1.196866,-0.174006,0.069368,-0.144863,-0.291066,A
-0.684959,-0.591546,0.001193,0.102081,-0.33237,A
-1.38482,-0.38446,-0.217597,-0.179485,-0.085421,A
-1.565991,-0.81225,-0.266708,-0.494012,-0.082425,A
-0.939621,-1.165492,-0.244513,-0.27534,-0.268488,A
-1.286772,-0.832219,-0.220891,-0.59757,-0.12679,A
-0.665085,-0.767669,0.253595,-0.431562,-0.327066,A
-0.930702,-0.648755,-0.203262,-0.330509,-0.036052,A
-1.244684,-0.561398,-0.057223,-0.379385,-0.287073,A
-0.975188,-0.788456,-0.059364,-0.265224,-0.250658,A
-0.332013,-0.949404,0.323903,-0.536985,-0.188876,A
-0.899879,-0.238972,-0.13189,-0.226686,-0.587523,A
-1.109375,-0.615055,-0.071538,-0.553524,-0.328609,A
-0.144685,-0.578342,0.391507,-0.430088,-0.322351,A
-0.66754,-0.290806,0.181981,-0.1178,-0.764966,A
-0.72856,-0.454294,-0.260692,-0.121497,-0.089423,A
-0.692345,-0.714387,0.117275,-0.540655,-0.114569,A
-1.148894,-0.60988,-0.078671,-0.412816,-0.286319,A
-1.195231,-0.566631,-0.289189,-0.362901,-0.117478,A
-0.33964,-0.486962,0.207489,-0.324364,-0.358335,A
-1.448825,-0.564895,-0.236221,-0.402646,-0.146411,A
-0.886544,-0.571807,0.19724,-0.510465,0.15511,A
-1.34355,-0.362982,-0.236777,-0.534299,0.373167,A
-0.708603,-0.020954,0.206944,-0.475783,-0.139123,A
-1.400069,-0.14023,0.05063,-0.602597,0.19196,A
-0.703996,-0.500456,0.19365,-0.161776,-0.481062,A
-1.39955,-0.4097,-0.010528,-0.467814,-0.347367,A
-0.797537,-0.475874,0.162838,-0.237056,-0.187617,A
5.725009,2.670641,-0.671372,1.627475,0.082296,AA
-0.620224,-0.236115,-0.031834,0.310794,-0.281899,AA
-0.236049,-0.513642,0.500896,0.046837,0.64687,AA
-0.751951,-0.474496,0.242926,-0.276069,-0.010731,AA
-0.778976,0.08254,0.123144,0.044788,0.345902,AA
-0.779301,-0.095821,0.310495,-0.305691,0.537344,AA
-0.170579,-0.912315,0.014763,-0.062659,-0.287926,AA
-0.600654,0.239993,0.012659,0.266757,-0.042417,AA
-0.680466,-0.348665,0.29844,0.355014,0.445363,AA
-1.105245,-0.203564,0.277502,-0.360362,0.205648,AA
-1.274661,-0.33037,-0.149052,-0.19836,0.490707,AA
-0.908206,-0.288383,0.097802,-0.162271,0.478299,AA
-0.672199,0.600076,0.144315,-0.492077,0.349905,AA
-0.748222,0.193099,0.201635,-0.218054,0.949111,AA
-0.826567,0.517398,0.146175,-0.035254,0.062703,AA
-0.569551,0.356694,0.258109,0.214547,0.390516,AA
-0.604864,0.133832,0.071011,0.008601,-0.141532,AA
-0.1152,-0.159949,0.852564,-0.019846,0.245728,AA
-1.11163,-0.178753,0.14962,0.04893,0.815094,AA
-0.536729,0.989722,0.384511,-0.287127,0.814644,AA
-0.699991,0.769953,0.522252,-0.552212,0.284642,AA
-1.222563,-0.328595,0.075649,-0.029955,0.43826,AA
-1.033081,-0.155563,0.170566,-0.246881,0.666231,AA
-0.637353,0.079404,0.056449,-0.083749,0.517468,AA
-1.055069,-0.200226,-0.123372,-0.120145,0.05422,AA
-1.057664,-0.299339,-0.109956,-0.197786,0.5725,AA
-0.536209,-0.60228,0.63985,-0.234472,0.299772,AA
-0.375445,-0.449538,0.430949,0.099085,0.547129,AA
-0.610512,0.28862,0.391734,0.168583,-0.076059,AA
-0.997929,-0.184944,0.062438,-0.013624,0.145239,AA
-0.86723,0.442638,0.217742,0.450285,0.139105,AA
-0.472508,-0.43522,0.560258,-0.067884,0.132755,AA
-0.865233,-0.185025,-0.046744,-0.034601,0.113946,AA
-0.83909,-0.003432,0.168403,0.343965,0.131708,AA
-0.367126,-0.215094,0.514227,-0.122273,0.152528,AA
-0.960544,-0.088272,0.255187,-0.388333,0.733995,AA
-0.653459,0.126788,0.380847,0.329588,0.263955,AA
-1.026938,-0.140053,-0.07265,-0.064545,0.737663,AA
-1.003288,-0.031456,0.070727,-0.11564,0.632402,AA
-0.632327,-0.396613,0.218436,-0.229114,0.355636,AA
-0.502312,-0.101717,0.251468,0.272744,0.144817,AA
-0.754256,-0.10837,0.226593,0.086406,0.160063,AA
-0.310519,-0.220625,0.567724,0.209686,-0.205978,AA
-0.455156,0.087417,0.191128,0.175369,0.073153,AA
0.028165,-0.346284,0.436748,0.033488,-0.434315,AA
0.347036,-0.27729,0.948638,-0.00894,0.046944,AA
-0.838485,-0.435351,0.131684,0.055124,0.347271,AA
-0.713669,-0.285701,0.123844,0.246088,0.492076,AA
-0.752756,-0.610294,0.029406,0.480225,0.209831,AA
-0.602158,-0.089496,0.362478,0.272521,0.293165,AA
-0.574665,-0.176122,0.366066,0.271842,-0.039986,AA
-0.674218,-0.013692,0.181637,0.102642,0.228455,AA
-0.689734,-0.074823,0.326824,0.074754,0.184092,AA
-0.775621,-0.235164,-0.264519,0.391862,0.281047,AA
-0.926916,-0.01126,0.335613,0.400715,-0.093503,AA
0.001016,-0.477836,0.516399,0.001592,0.110773,AA
0.190383,-0.300064,0.625851,0.37853,0.280204,AA
-1.14036,-0.304043,0.191008,0.361076,-0.091638,AA
0.84885,-0.5265,0.67837,0.390229,-0.161508,AA
-0.271437,-1.058117,-0.205302,0.498297,-0.10981,AA
-0.637633,-0.813535,0.009489,0.328106,-0.190879,AA
0.761248,-0.748473,-0.261461,0.570558,0.018351,AA
0.676301,-1.008618,0.745925,-0.252971,-0.116321,AA
0.937558,-0.852862,0.588697,-0.21606,-0.067603,AA
0.521421,-0.92877,0.413902,-0.078117,-0.298761,AA
0.146335,-0.844994,0.459737,-0.224612,-0.407343,AA
0.455856,-0.968,0.39875,-0.201428,-0.154885,AA
-0.333011,-0.240613,0.816157,0.141688,0.269114,AA
0.376294,-0.491078,0.543178,0.160484,0.04855,AA
-0.725218,-0.689857,0.051942,-0.059644,-0.260322,AA
0.420254,-0.743642,0.610714,-0.083544,-0.226421,AA
0.22443,-0.874089,0.164705,-0.324534,-0.301363,AA
0.665749,-0.79849,-0.165048,0.027145,0.195306,AA
0.095349,-0.455596,0.690727,-0.06173,0.521923,AA
0.977493,-1.000917,-0.464896,0.412409,0.206764,AA
-0.705765,-0.787624,-0.083879,0.087131,-0.530735,AA
0.372964,-0.850604,0.466785,0.034055,-0.11094,AA
-0.692414,-0.960681,-0.119196,0.400751,-0.282734,AA
-0.372361,-0.286537,0.11829,-0.061491,0.219433,AA
-0.298907,-0.806372,0.21758,-0.059437,-0.151091,AA
